HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	customerOrder.orderReceived	BOOL			TRUE	RW	
	customerOrder.productID	INT			TRUE	RW	
	customerOrder.name	STRING(256)			TRUE	RW	
	moviconSend.laserCutter00	INT			TRUE	RW	
	moviconSend.mobileRobot00	INT			TRUE	RW	
	moviconSend.mobileRobot01	INT			TRUE	RW	
	moviconSend.mobileRobot02	INT			TRUE	RW	
	moviconSend.cobot00	INT			TRUE	RW	
	moviconSend.cobot01	INT			TRUE	RW	
	moviconSend.cobot02	INT			TRUE	RW	
	moviconSend.quattro00	INT			TRUE	RW	
	moviconSend.viper00	INT			TRUE	RW	
	moviconSend.viper01	INT			TRUE	RW	
	moviconSend.printer00	INT			TRUE	RW	
	moviconSend.printer01	INT			TRUE	RW	
	moviconSend.printer02	INT			TRUE	RW	
	moviconSend.printer03	INT			TRUE	RW	
	moviconSend.printer04	INT			TRUE	RW	
	moviconSend.printer05	INT			TRUE	RW	
	moviconSend.printer06	INT			TRUE	RW	
	moviconSend.printer07	INT			TRUE	RW	
	moviconSend.printer08	INT			TRUE	RW	
	moviconSend.printer09	INT			TRUE	RW	
	moviconSend.printer10	INT			TRUE	RW	
	moviconSend.printer11	INT			TRUE	RW	
	moviconSend.printer12	INT			TRUE	RW	
	moviconSend.printer13	INT			TRUE	RW	
	moviconSend.printer14	INT			TRUE	RW	
	moviconSend.printer15	INT			TRUE	RW	
	moviconSend.printer16	INT			TRUE	RW	
	moviconSend.printer17	INT			TRUE	RW	
	moviconSend.printer18	INT			TRUE	RW	
	moviconSend.printer19	INT			TRUE	RW	
